wavenumber,absorption_coef
4500.0,1.5478185E-05
4505.0,3.4825567E-05
4510.0,5.4172953E-05
4515.0,7.3520343E-05
4520.0,9.2867725E-05
4525.0,1.1221511E-04
4530.0,1.3156250E-04
4535.0,1.5090988E-04
4540.0,1.7025726E-04
4545.0,1.8960465E-04
4550.0,2.0895203E-04
4555.0,2.3593617E-04
4560.0,2.9850862E-04
4565.0,3.6948317E-04
4570.0,4.4885988E-04
4575.0,5.4001610E-04
4580.0,6.4105232E-04
4585.0,7.5234997E-04
4590.0,8.7262847E-04
4595.0,9.9942752E-04
4600.0,1.1362602E-03
4605.0,1.2936132E-03
4610.0,1.5176521E-03
4615.0,1.7954395E-03
4620.0,2.1481151E-03
4625.0,2.6931590E-03
4630.0,3.1120952E-03
4635.0,2.7946872E-03
4640.0,2.5185575E-03
4645.0,2.4253442E-03
4650.0,2.4188559E-03
4655.0,2.4769977E-03
4660.0,2.4829037E-03
4665.0,2.3845681E-03
4670.0,2.2442993E-03
4675.0,2.1040305E-03
4680.0,1.9726211E-03
4685.0,1.8545000E-03
4690.0,1.7363789E-03
4695.0,1.6182578E-03
4700.0,1.5128252E-03
4705.0,1.4635258E-03
4710.0,1.2099572E-03
4715.0,1.0359654E-03
4720.0,9.1723543E-04
4725.0,7.5135247E-04
4730.0,6.0498451E-04
4735.0,5.0746030E-04
4740.0,4.0987082E-04
4745.0,3.2203691E-04
4750.0,2.5376283E-04
4755.0,2.0496233E-04
4760.0,1.5671484E-04
4765.0,1.1761552E-04
4770.0,9.7678370E-05
4775.0,7.8062728E-05
4780.0,5.8552457E-05
4785.0,4.8789554E-05
4790.0,4.1275161E-05
4795.0,3.9085765E-05
4800.0,3.9056369E-05
4805.0,3.5796973E-05
4810.0,3.0637581E-05
4815.0,2.5478185E-05
4820.0,2.0318790E-05
4825.0,5.1593952E-06